7	Q01	[1]	y=x^2-3x	y'=2x-3	2x
8	Q09	[1]	int((3sin(x)+cos(3x)),x)	-3cos(x)+fr(1,3)sin(3x)+C	-3xcos(x)+fr(1,3)sin3x+c
9	Q09	[1]	int((3sin(x)+cos(3x)),x)	-3cos(x)+fr(1,3)sin(3x)+C	-3cos(x)+fr(1,3)cos(x)+c
10	Q09	[1]	int((3sin(x)+cos(3x)),x)	-3cos(x)+fr(1,3)sin(3x)+C	(3cos(x)-sin(3x))c
11	Q09	[1]	int((3sin(x)+cos(3x)),x)	-3cos(x)+fr(1,3)sin(3x)+C	-3cos(x)+sin(3x)+c
12	Q09	[1]	int((3sin(x)+cos(3x)),x)	-3cos(x)+fr(1,3)sin(3x)+C	-3cos(x)+sin(3x)+c
1	Q09	[2]	int((1+fr(1,cos(x)))(1-fr(1,cos(x))),x)	x-tan(x)+C	(1+-fr(1,sin(x)))(1+sin(x))+c
2	Q09	[2]	int((1+fr(1,cos(x)))(1-fr(1,cos(x))),x)	x-tan(x)+C	x-tan(x)+c
4	Q09	[2]	int((1+fr(1,cos(x)))(1-fr(1,cos(x))),x)	x-tan(x)+C	x-tan(x)+c
6	Q09	[2]	int((1+fr(1,cos(x)))(1-fr(1,cos(x))),x)	x-tan(x)+C	x-tan(x)+C
7	Q09	[2]	int((1+fr(1,cos(x)))(1-fr(1,cos(x))),x)	x-tan(x)+C	-(-x+tan(x))+C
8	Q09	[2]	int((1+fr(1,cos(x)))(1-fr(1,cos(x))),x)	x-tan(x)+C	x-tan(x)+c
9	Q09	[2]	int((1+fr(1,cos(x)))(1-fr(1,cos(x))),x)	x-tan(x)+C	ｘ-tan(x)
10	Q09	[2]	int((1+fr(1,cos(x)))(1-fr(1,cos(x))),x)	x-tan(x)+C	(1+fr(1,-sin(x)))(1-fr(1,-sin(x)))c
11	Q09	[2]	int((1+fr(1,cos(x)))(1-fr(1,cos(x))),x)	x-tan(x)+C	tan(x)-1+c
12	Q09	[2]	int((1+fr(1,cos(x)))(1-fr(1,cos(x))),x)	x-tan(x)+C	(1+fr(1,sin(x)))(1-fr(1,sin(x)))
1	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	4e^(x)+log|3x|+c
2	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	2e^(x)+log(3x)+c
3	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	2e^(x)+1+k
4	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	2e^(x)+log(3x+c)
6	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	2e^(x)+3log(x)+C
7	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	2e^(x)+3ln(|x|)+C
8	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	2e^(x)+log(3x)+c
9	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	e^(x)+log(3)+c
10	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	(2e^(x)+3)c
11	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	2e^(x)+log(3)+c
12	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	2e^(x)+fr(3,2)x^(2)
1	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	fr(1,2)e^(2x)+1+c
2	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	fr(1,2)e^(2x)+fr(1,2)e^(2x)+x+c
3	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	fr((e^(x)+1)^(3),3e^(x))+k
4	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	fr(1,2)e^(2)x-2e^(x)
6	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	fr(1,2)e^(2x)+2e^(x)+x+C
7	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	fr(1,2)e^(2x)+2e^(x)+x+C
8	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	fr(1,2)e^(2)x-2e^(x)
9	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	fr(1,2)e^(2x)-2e^(x)
10	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	2(e^(x)+1)c
11	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	fr(1,3)(e^(x)+1)^(3)+c
12	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	e^(x)+fr(1,2)x^(2)
